Log(E/eV)	r [M]	Theta	Synchr	Brems ei
8.44444	16.7961	0	-12.3997	-18.3635
9.66667	16.7961	0	-11.1775	-18.2104
10.8889	16.7961	0	-9.9553	-18.0975
12.1111	16.7961	0	-8.73307	-18.0079
13.3333	16.7961	0	-7.51085	-17.9337
14.5556	16.7961	0	-6.28863	-17.8703
15.7778	16.7961	0	-5.06641	-17.815
17	16.7961	0	-3.84419	-17.766
6	17.049	0	-15.8314	-19.9146
7.22222	17.049	0	-14.6092	-19.3425
8.44444	17.049	0	-13.387	-19.104
9.66667	17.049	0	-12.1647	-18.9509
10.8889	17.049	0	-10.9425	-18.8379
12.1111	17.049	0	-9.7203	-18.7483
13.3333	17.049	0	-8.49807	-18.6741
14.5556	17.049	0	-7.27585	-18.6107
15.7778	17.049	0	-6.05363	-18.5555
17	17.049	0	-4.83141	-18.5064
6	17.302	0	-16.8121	-20.6501
7.22222	17.302	0	-15.5899	-20.078
8.44444	17.302	0	-14.3676	-19.8395
9.66667	17.302	0	-13.1454	-19.6864
10.8889	17.302	0	-11.9232	-19.5734
12.1111	17.302	0	-10.701	-19.4838
13.3333	17.302	0	-9.47875	-19.4096
14.5556	17.302	0	-8.25653	-19.3462
15.7778	17.302	0	-7.03431	-19.291
17	17.302	0	-5.81209	-19.2419
6	17.5549	0	-17.7857	-21.3803
7.22222	17.5549	0	-16.5634	-20.8082
8.44444	17.5549	0	-15.3412	-20.5697
9.66667	17.5549	0	-14.119	-20.4166
10.8889	17.5549	0	-12.8968	-20.3036
12.1111	17.5549	0	-11.6746	-20.214
13.3333	17.5549	0	-10.4523	-20.1398
14.5556	17.5549	0	-9.23011	-20.0764
15.7778	17.5549	0	-8.00789	-20.0211
17	17.5549	0	-6.78567	-19.9721
6	17.8079	0	-18.7517	-22.1047
7.22222	17.8079	0	-17.5294	-21.5327
8.44444	17.8079	0	-16.3072	-21.2942
9.66667	17.8079	0	-15.085	-21.1411
10.8889	17.8079	0	-13.8628	-21.0281
12.1111	17.8079	0	-12.6406	-20.9385
13.3333	17.8079	0	-11.4183	-20.8643
14.5556	17.8079	0	-10.1961	-20.8009
15.7778	17.8079	0	-8.97389	-20.7456
17	17.8079	0	-7.75166	-20.6966
6	18.0608	0	-19.7097	-22.8232
7.22222	18.0608	0	-18.4874	-22.2512
8.44444	18.0608	0	-17.2652	-22.0126
9.66667	18.0608	0	-16.043	-21.8595
10.8889	18.0608	0	-14.8208	-21.7466
12.1111	18.0608	0	-13.5985	-21.657
13.3333	18.0608	0	-12.3763	-21.5828
14.5556	18.0608	0	-11.1541	-21.5194
15.7778	18.0608	0	-9.93188	-21.4641
17	18.0608	0	-8.70966	-21.4151
6	18.3138	0	-20.6593	-23.5355
7.22222	18.3138	0	-19.4371	-22.9634
8.44444	18.3138	0	-18.2148	-22.7249
9.66667	18.3138	0	-16.9926	-22.5718
10.8889	18.3138	0	-15.7704	-22.4588
12.1111	18.3138	0	-14.5482	-22.3692
13.3333	18.3138	0	-13.3259	-22.295
14.5556	18.3138	0	-12.1037	-22.2316
15.7778	18.3138	0	-10.8815	-22.1764
17	18.3138	0	-9.65928	-22.1273
6	18.5667	0	-21.6002	-24.2412
7.22222	18.5667	0	-20.378	-23.6692
8.44444	18.5667	0	-19.1558	-23.4306
9.66667	18.5667	0	-17.9336	-23.2775
10.8889	18.5667	0	-16.7113	-23.1645
12.1111	18.5667	0	-15.4891	-23.0749
13.3333	18.5667	0	-14.2669	-23.0007
14.5556	18.5667	0	-13.0447	-22.9374
15.7778	18.5667	0	-11.8225	-22.8821
17	18.5667	0	-10.6002	-22.833
6	18.8197	0	-22.5322	-24.9402
7.22222	18.8197	0	-21.31	-24.3682
8.44444	18.8197	0	-20.0878	-24.1296
9.66667	18.8197	0	-18.8656	-23.9765
10.8889	18.8197	0	-17.6434	-23.8635
12.1111	18.8197	0	-16.4211	-23.7739
13.3333	18.8197	0	-15.1989	-23.6997
14.5556	18.8197	0	-13.9767	-23.6364
15.7778	18.8197	0	-12.7545	-23.5811
17	18.8197	0	-11.5322	-23.532
6	19.0726	0	-23.4551	-25.6323
7.22222	19.0726	0	-22.2329	-25.0603
8.44444	19.0726	0	-21.0107	-24.8217
