gamma	 omPrim	 omMin	 omMax	 probtot
25.1189	4.37986e-11	1.73678e-14	1.10453e-07	106.171
25.1189	1.18794e-10	4.71062e-14	2.99577e-07	15.4453
25.1189	3.22201e-10	1.27765e-13	8.12536e-07	2.75539
25.1189	8.73897e-10	3.46533e-13	2.20382e-06	1.23003
25.1189	2.37025e-09	9.39892e-13	5.97735e-06	1.0494
25.1189	6.42875e-09	2.54924e-12	1.62122e-05	1.02973
25.1189	1.74365e-08	6.91424e-12	4.39719e-05	1.02807
25.1189	4.72926e-08	1.87533e-11	0.000119263	1.02795
25.1189	1.2827e-07	5.08641e-11	0.000323472	1.02794
25.1189	3.47905e-07	1.37957e-10	0.000877325	1.02794
25.1189	9.43612e-07	3.74178e-10	0.0023794	1.02794
25.1189	2.55933e-06	1.01487e-09	0.00645254	1.02793
25.1189	6.94161e-06	2.75261e-09	0.0174934	1.02793
25.1189	1.88275e-05	7.46582e-09	0.0473902	1.0279
25.1189	5.10654e-05	2.02493e-08	0.128121	1.02785
25.1189	0.000138503	5.49215e-08	0.34449	1.02777
25.1189	0.000375659	1.48961e-07	0.912904	1.02806
25.1189	0.00101889	4.04011e-07	2.33093	1.03247
25.1189	0.0027635	1.09571e-06	5.45502	1.07057
25.1189	0.00749538	2.97131e-06	10.7839	1.43277
25.1189	0.0203295	8.05489e-06	16.8543	0.913756
25.1189	0.0551392	2.18168e-05	21.2684	0.848803
25.1189	0.149552	5.8952e-05	23.5416	0.752947
25.1189	0.405627	0.000158289	24.5073	0.648611
25.1189	1.10017	0.000417946	25.219	0.572994
25.1189	2.98396	0.00105757	27.1028	0.652172
25.1189	8.09332	0.00242701	32.2122	0.899204
31.6228	2.19513e-12	5.49057e-16	8.77613e-09	29299.5
31.6228	5.95379e-12	1.48919e-15	2.38032e-08	3863.8
31.6228	1.61483e-11	4.03909e-15	6.45609e-08	533.047
31.6228	4.37986e-11	1.09551e-14	1.75107e-07	73.6174
